LOCATION,Date,TIME,FLIGHT,FROM,AIRLINE,AIRCRAFT,STATUS
ORD,"Thursday, January 6, 2022",10:44 AM,UA5323,Chicago (ORD),United Express,E75L (N150SY),Landed 10:29 AM
ATL,"Thursday, January 6, 2022",11:17 AM,DL2867,Atlanta (ATL),Delta Air Lines,B712 (N934AT),Landed 11:01 AM
MSP,"Thursday, January 6, 2022",11:44 AM,DL4863,Minneapolis (MSP),Delta Connection,CRJ9 (N582CA),Landed 11:37 AM
DFW,"Thursday, January 6, 2022",12:12 PM,AA3123,Dallas (DFW),American Eagle,CRJ7 (N719EV),Landed 12:00 PM
DEN,"Thursday, January 6, 2022",12:43 PM,UA5254,Denver (DEN),United Express,CRJ2 (N433SW),Landed 3:13 PM
CLT,"Thursday, January 6, 2022",1:12 PM,AA3955,Charlotte (CLT),American Eagle,E75L (N271NN),Landed 12:51 PM
ISW,"Thursday, January 6, 2022",1:40 PM,,Wisconsin Rapids (ISW),Frontier,PA46 (N757TT),Landed 1:29 PM
LAS,"Thursday, January 6, 2022",1:48 PM,G4811,Las Vegas (LAS),Allegiant Air,A320 (N237NV),Landed 4:04 PM
DEN,"Thursday, January 6, 2022",1:57 PM,F9470,Denver (DEN),Frontier,A20N (N353FR),Landed 1:40 PM
DEN,"Thursday, January 6, 2022",2:05 PM,WN4529,Denver (DEN),Southwest Airlines,B737 (N7715E),Landed 3:38 PM
SRQ,"Thursday, January 6, 2022",2:13 PM,G4848,Sarasota (SRQ),Allegiant Air,A320 (N248NV),Landed 2:43 PM
PHX,"Thursday, January 6, 2022",2:22 PM,AA1972,Phoenix (PHX),American Airlines,A319 (N708UW),Landed 2:14 PM
ORD,"Thursday, January 6, 2022",2:39 PM,AA3240,Chicago (ORD),American Eagle,CRJ7 (N707EV),Landed 3:29 PM
HOU,"Thursday, January 6, 2022",2:43 PM,G4591,Houston (HOU),Allegiant Air,A320 (N241NV),Landed 2:33 PM
IAH,"Thursday, January 6, 2022",2:47 PM,UA6188,Houston (IAH),United Express,E75L (N84307),Landed 2:45 PM
LAS,"Thursday, January 6, 2022",3:15 PM,WN320,Las Vegas (LAS),Southwest Airlines,B737 (N260WN),Canceled
CLT,"Thursday, January 6, 2022",3:18 PM,AA5679,Charlotte (CLT),American Eagle,CRJ9 (N599NN),Landed 3:05 PM
ORD,"Thursday, January 6, 2022",3:28 PM,UA5508,Chicago (ORD),United Express,E75L (N200SY),Landed 3:00 PM
LEX,"Thursday, January 6, 2022",3:32 PM,LXJ521,Lexington (LEX),Flexjet,CL3,Unknown
PSP,"Thursday, January 6, 2022",3:47 PM,G4822,Palm Springs (PSP),Allegiant Air,A320 (N298NV),Landed 5:07 PM
DEN,"Thursday, January 6, 2022",4:21 PM,UA4763,Denver (DEN),United Express,CRJ2 (N932SW),Landed 4:06 PM
DFW,"Thursday, January 6, 2022",4:26 PM,AA560,Dallas (DFW),American Airlines,A319 (N745VJ),Landed 4:10 PM
ORD,"Thursday, January 6, 2022",4:48 PM,AA4146,Chicago (ORD),American Eagle,E170 (N762DT),Landed 4:25 PM
DTW,"Thursday, January 6, 2022",5:00 PM,DL4760,Detroit (DTW),Delta Connection,CRJ7 (N317CA),Landed 4:30 PM
DCA,"Thursday, January 6, 2022",5:30 PM,AA4914,Washington (DCA),American Eagle,E75S (N124HQ),Landed 5:21 PM
ATL,"Thursday, January 6, 2022",5:34 PM,DL2537,Atlanta (ATL),Delta Air Lines,A320 (N370NW),Landed 5:22 PM
OMA,"Thursday, January 6, 2022",5:46 PM,,Omaha (OMA),Frontier,E135 (N548M),Landed 5:47 PM
CHS,"Thursday, January 6, 2022",7:30 PM,,Charleston (CHS),Frontier,C68A (N530QS),Canceled
DEN,"Thursday, January 6, 2022",8:21 PM,UA465,Denver (DEN),United Airlines,B738 (N37252),Landed 9:39 PM
CHS,"Thursday, January 6, 2022",8:27 PM,1I811,Charleston (CHS),NetJets,C700 (N811QS),Landed 7:27 PM
LGA,"Thursday, January 6, 2022",8:49 PM,DL5265,New York (LGA),Delta Connection,CRJ9 (N315PQ),Landed 8:24 PM
SLC,"Thursday, January 6, 2022",9:00 PM,DL3775,Salt Lake City (SLC),Delta Connection,E75L (N251SY),Landed 8:34 PM
MSP,"Thursday, January 6, 2022",9:15 PM,DL5230,Minneapolis (MSP),Delta Connection,CRJ9 (N301PQ),Landed 9:27 PM
PGD,"Thursday, January 6, 2022",9:25 PM,G4827,Punta Gorda (PGD),Allegiant Air,A320 (N248NV),Landed 10:46 PM
ORD,"Thursday, January 6, 2022",9:36 PM,AA3697,Chicago (ORD),American Eagle,E170 (N760MQ),Landed 10:35 PM
AUS,"Thursday, January 6, 2022",9:44 PM,G4812,Austin (AUS),Allegiant Air,A320 (N298NV),Landed 10:51 PM
ORD,"Thursday, January 6, 2022",9:55 PM,UA1802,Chicago (ORD),United Airlines,B738 (N77296),Landed 9:46 PM
DCA,"Thursday, January 6, 2022",10:00 PM,AA4770,Washington (DCA),American Eagle,E75L (N102HQ),Landed 9:44 PM
STL,"Thursday, January 6, 2022",10:05 PM,WN3250,St. Louis (STL),Southwest Airlines,B738 (N8686A),Landed 10:21 PM
DTW,"Thursday, January 6, 2022",10:18 PM,DL4883,Detroit (DTW),Delta Connection,CRJ9 (N932XJ),Landed 9:48 PM
SFB,"Thursday, January 6, 2022",10:23 PM,G4838,Orlando (SFB),Allegiant Air,A320 (N237NV),Landed 11:24 PM
ATL,"Thursday, January 6, 2022",10:39 PM,DL4680,Atlanta (ATL),Delta Connection,CRJ9 (N324PQ),Landed 10:23 PM
IAH,"Thursday, January 6, 2022",10:39 PM,UA6330,Houston (IAH),United Express,E75L (N82338),Landed 10:32 PM
DFW,"Thursday, January 6, 2022",11:42 PM,AA1371,Dallas (DFW),American Airlines,A320 (N668AW),Landed 11:22 PM
PHX,"Thursday, January 6, 2022",11:56 PM,AA568,Phoenix (PHX),American Airlines,A320 (N655AW),Landed 11:33 PM
MIA,"Friday, January 7, 2022",12:09 AM,AA3558,Miami (MIA),American Eagle,E75L (N274NN),Landed 12:52 AM
CLT,"Friday, January 7, 2022",12:20 AM,AA825,Charlotte (CLT),American Airlines,A319 (N746UW),Landed 12:04 AM
AFW,"Friday, January 7, 2022",2:39 AM,3M3901,Fort Worth (AFW),Amazon Air,AT75 (N937AZ),Landed 2:31 AM
SLB,"Friday, January 7, 2022",4:29 AM,,Storm Lake (SLB),Frontier,PC12 (N986AC),Unknown
CID,"Friday, January 7, 2022",6:01 AM,5X514,Cedar Rapids (CID),UPS,B763 (N372UP),Landed 9:14 AM
MEM,"Friday, January 7, 2022",7:01 AM,FX1500,Memphis (MEM),FedEx,A306 (N749FD),Landed 7:52 AM
MSP,"Friday, January 7, 2022",7:46 AM,FX1156,Minneapolis (MSP),FedEx,B752 (N991FD),Landed 8:13 AM
DFW,"Friday, January 7, 2022",9:01 AM,AA3953,Dallas (DFW),American Eagle,E75L (N264NN),Landed 8:53 AM
UES,"Friday, January 7, 2022",9:39 AM,,Waukesha (UES),Frontier,(N618TG),Landed 9:34 AM
ORD,"Friday, January 7, 2022",9:46 AM,AA3259,Chicago (ORD),American Eagle,CRJ7 (N740EV),Landed 9:18 AM
MCO,"Friday, January 7, 2022",10:35 AM,F91067,Orlando (MCO),Frontier,A20N (N323FR),Landed 10:37 AM
ORD,"Friday, January 7, 2022",10:44 AM,UA5323,Chicago (ORD),United Express,E75L (N153SY),Landed 11:15 AM
ATL,"Friday, January 7, 2022",11:17 AM,DL2867,Atlanta (ATL),Delta Air Lines,B712 (N991AT),Landed 11:11 AM
MSP,"Friday, January 7, 2022",11:44 AM,DL4863,Minneapolis (MSP),Delta Connection,CRJ9 (N310PQ),Landed 12:17 PM
DFW,"Friday, January 7, 2022",12:12 PM,AA3123,Dallas (DFW),Delta Connection,CRJ7 (N713EV),Landed 12:08 PM
DEN,"Friday, January 7, 2022",12:43 PM,UA5254,Denver (DEN),United Express,CRJ2 (N961SW),Landed 2:58 PM
MWL,"Friday, January 7, 2022",12:53 PM,,Mineral Wells (MWL),Frontier,C55B (N712BD),Landed 2:10 PM
CLT,"Friday, January 7, 2022",1:12 PM,AA3955,Charlotte (CLT),American Eagle,E75L (N280NN),Landed 1:07 PM
DEN,"Friday, January 7, 2022",2:05 PM,WN4529,Denver (DEN),Southwest Airlines,B737 (N463WN),Landed 1:50 PM
PIE,"Friday, January 7, 2022",2:14 PM,G4852,St. Petersburg (PIE),Allegiant Air,A320 (N257NV),Landed 5:10 PM
PHX,"Friday, January 7, 2022",2:22 PM,AA1972,Phoenix (PHX),American Airlines,A319 (N766US),Landed 2:08 PM
ORD,"Friday, January 7, 2022",2:39 PM,AA3240,Chicago (ORD),American Eagle,CRJ7 (N773SK),Landed 2:19 PM
IAH,"Friday, January 7, 2022",2:47 PM,UA6188,Houston (IAH),United Express,E75L (N80348),Landed 2:41 PM
LAX,"Friday, January 7, 2022",2:58 PM,G4817,Los Angeles (LAX),Allegiant Air,A320 (N237NV),Landed 2:24 PM
ALO,"Friday, January 7, 2022",3:04 PM,,Waterloo (ALO),Frontier,PC12 (N34MJ),Landed 4:24 PM
TYS,"Friday, January 7, 2022",3:09 PM,,Knoxville (TYS),Frontier,SF50 (N603AP),Landed 3:18 PM
LAS,"Friday, January 7, 2022",3:15 PM,WN320,Las Vegas (LAS),Southwest Airlines,B737 (N449WN),Landed 3:23 PM
CLT,"Friday, January 7, 2022",3:18 PM,AA5679,Charlotte (CLT),American Eagle,CRJ9 (N577NN),Landed 3:12 PM
ORD,"Friday, January 7, 2022",3:28 PM,UA5508,Chicago (ORD),United Express,E75L (N167SY),Landed 4:13 PM
MKE,"Friday, January 7, 2022",3:31 PM,FRG9121,Milwaukee (MKE),Freight Runners Express,E120 (N121CZ),Landed 3:25 PM
DEN,"Friday, January 7, 2022",4:21 PM,UA4763,Denver (DEN),United Express,CRJ2 (N953SW),Landed 3:56 PM
DFW,"Friday, January 7, 2022",4:26 PM,AA560,Dallas (DFW),American Airlines,A319 (N751UW),Landed 4:19 PM
PHL,"Friday, January 7, 2022",4:26 PM,1I426,Philadelphia (PHL),NetJets,E55P (N426QS),Landed 4:14 PM
ORD,"Friday, January 7, 2022",4:48 PM,AA4146,Chicago (ORD),American Eagle,E170 (N763CC),Landed 5:24 PM
LAS,"Friday, January 7, 2022",4:51 PM,F91958,Las Vegas (LAS),Frontier,A20N (N336FR),Landed 4:52 PM
MEM,"Friday, January 7, 2022",4:59 PM,FX718,Memphis (MEM),FedEx,ABM,Unknown
DTW,"Friday, January 7, 2022",5:00 PM,DL4760,Detroit (DTW),Delta Connection,CRJ7 (N668CA),Landed 4:39 PM
DCA,"Friday, January 7, 2022",5:30 PM,AA4914,Washington (DCA),American Eagle,E75S (N405YX),Landed 5:33 PM
ATL,"Friday, January 7, 2022",5:34 PM,DL2537,Atlanta (ATL),Delta Air Lines,A320 (N353NW),Landed 5:19 PM
SPW,"Friday, January 7, 2022",6:42 PM,,Spencer (SPW),Frontier,PAY2 (N302TA),Unknown
MKT,"Friday, January 7, 2022",7:03 PM,MVK61,Mankato (MKT),Private owner,P28A (N355MK),Landed 7:27 PM
PNE,"Friday, January 7, 2022",7:29 PM,,Philadelphia (PNE),Frontier,(N9EE),Diverted to SBN
ORL,"Friday, January 7, 2022",7:34 PM,,Orlando (ORL),Frontier,C501 (N892HM),Landed 8:51 PM
DEN,"Friday, January 7, 2022",8:33 PM,UA465,Denver (DEN),United Airlines,B738 (N77258),Landed 8:29 PM
SBN,"Friday, January 7, 2022",8:54 PM,,South Bend (SBN),Frontier,(N9EE),Landed 9:07 PM
SLC,"Friday, January 7, 2022",9:00 PM,DL3775,Salt Lake City (SLC),Delta Connection,E75L (N253SY),Landed 8:33 PM
MSP,"Friday, January 7, 2022",9:15 PM,DL5230,Minneapolis (MSP),Delta Connection,CRJ9 (N301PQ),Landed 9:02 PM
ORD,"Friday, January 7, 2022",9:36 PM,AA3697,Chicago (ORD),American Eagle,E170 (N763CC),Landed 9:19 PM
LGA,"Friday, January 7, 2022",9:52 PM,DL5265,New York (LGA),Delta Connection,CRJ9 (N912XJ),Landed 9:30 PM
ORD,"Friday, January 7, 2022",9:55 PM,UA1802,Chicago (ORD),United Airlines,B738 (N78509),Landed 9:48 PM
DCA,"Friday, January 7, 2022",10:00 PM,AA4770,Washington (DCA),American Eagle,E75L (N419YX),Landed 10:26 PM
STL,"Friday, January 7, 2022",10:05 PM,WN3250,St. Louis (STL),Southwest Airlines,B738 (N8529Z),Landed 10:29 PM
FLL,"Friday, January 7, 2022",10:06 PM,G4828,Fort Lauderdale (FLL),Allegiant Air,A320 (N237NV),Landed 10:20 PM
DTW,"Friday, January 7, 2022",10:18 PM,DL4883,Detroit (DTW),Delta Connection,CRJ9 (N183GJ),Landed 9:58 PM
AZA,"Friday, January 7, 2022",10:24 PM,G4819,Phoenix (AZA),Allegiant Air,A320 (N248NV),Canceled
ATL,"Friday, January 7, 2022",10:39 PM,DL4680,Atlanta (ATL),Delta Connection,CRJ9 (N272PQ),Landed 10:19 PM
IAH,"Friday, January 7, 2022",10:39 PM,UA6330,Houston (IAH),United Express,E75L (N88332),Landed 11:00 PM
DFW,"Friday, January 7, 2022",11:42 PM,AA1371,Dallas (DFW),American Airlines,A320 (N650AW),Landed 11:20 PM
PHX,"Friday, January 7, 2022",11:56 PM,AA568,Phoenix (PHX),American Airlines,A320 (N124US),Landed 11:32 PM
MIA,"Saturday, January 8, 2022",12:09 AM,AA3558,Miami (MIA),American Eagle,E75L (N270NN),Landed 11:51 PM
CLT,"Saturday, January 8, 2022",12:20 AM,AA825,Charlotte (CLT),American Airlines,A319 (N840AW),Landed 11:52 PM
AFW,"Saturday, January 8, 2022",2:22 AM,3M3901,Fort Worth (AFW),Amazon Air,AT75 (N919AZ),Landed 2:08 AM
CID,"Saturday, January 8, 2022",7:35 AM,FX1500,Cedar Rapids (CID),FedEx,B752 (N967FD),Landed 7:44 AM
CID,"Saturday, January 8, 2022",7:48 AM,FRG1530,Cedar Rapids (CID),Freight Runners Express,BE99 (N199CZ),Landed 7:35 AM
MIW,"Saturday, January 8, 2022",8:53 AM,,Marshalltown (MIW),Frontier,C25B (N329BH),Unknown
DTW,"Saturday, January 8, 2022",9:41 AM,DL4722,Detroit (DTW),Delta Connection,CRJ9 (N329PQ),Landed 9:39 AM
ORD,"Saturday, January 8, 2022",9:46 AM,AA3259,Chicago (ORD),SkyWest Airlines,CRJ7 (N708EV),Landed 9:47 AM
ORD,"Saturday, January 8, 2022",10:44 AM,UA5323,Chicago (ORD),United Express,E75L (N206SY),Landed 12:29 PM
RIL,"Saturday, January 8, 2022",10:48 AM,1I370,Rifle (RIL),NetJets,E55P (N383QS),Unknown
ATL,"Saturday, January 8, 2022",11:17 AM,DL2867,Atlanta (ATL),Delta Air Lines,B712 (N947AT),Landed 10:52 AM
STL,"Saturday, January 8, 2022",11:30 AM,WN4547,St. Louis (STL),Southwest Airlines,B737 (N936WN),Landed 11:49 AM
DSM,"Saturday, January 8, 2022",11:30 AM,,Des Moines (DSM),Frontier,(N9EE),Landed 11:17 AM
MSP,"Saturday, January 8, 2022",11:44 AM,DL4863,Minneapolis (MSP),Delta Connection,CRJ7 (N391CA),Landed 12:04 PM
DEN,"Saturday, January 8, 2022",12:43 PM,UA5254,Denver (DEN),SkyWest Airlines,CRJ2 (N699BR),Landed 12:49 PM
CLT,"Saturday, January 8, 2022",1:12 PM,AA5168,Charlotte (CLT),American Eagle,CRJ9 (N613NN),Landed 12:53 PM
DEN,"Saturday, January 8, 2022",1:15 PM,WN10,Denver (DEN),Southwest Airlines,B737 (N7856A),Canceled
PHX,"Saturday, January 8, 2022",2:22 PM,AA1972,Phoenix (PHX),American Airlines,A319 (N830AW),Landed 1:56 PM
ORD,"Saturday, January 8, 2022",2:39 PM,AA3240,Chicago (ORD),American Airlines,CR7,Canceled
IAH,"Saturday, January 8, 2022",2:47 PM,UA6188,Houston (IAH),United Express,E75L (N82338),Landed 2:30 PM
ORD,"Saturday, January 8, 2022",3:28 PM,UA5508,Chicago (ORD),United Express,E75L (N128SY),Landed 3:24 PM
CLT,"Saturday, January 8, 2022",3:42 PM,AA5679,Charlotte (CLT),American Eagle,CRJ9 (N602NN),Landed 3:14 PM
DEN,"Saturday, January 8, 2022",4:21 PM,UA4763,Denver (DEN),United Express,CRJ2 (N926SW),Landed 7:46 PM
DFW,"Saturday, January 8, 2022",4:26 PM,AA560,Dallas (DFW),American Airlines,A319 (N835AW),Landed 4:22 PM
ORD,"Saturday, January 8, 2022",4:48 PM,AA4146,Chicago (ORD),American Eagle,E170 (N764JD),Unknown
DCA,"Saturday, January 8, 2022",4:55 PM,AA5536,Washington (DCA),American Eagle,CRJ7 (N514AE),Landed 4:48 PM
MEM,"Saturday, January 8, 2022",4:58 PM,FX534,Memphis (MEM),FedEx,ABM,Unknown
ATL,"Saturday, January 8, 2022",5:34 PM,DL2537,Atlanta (ATL),Delta Air Lines,A320 (N373NW),Landed 5:05 PM
DEN,"Saturday, January 8, 2022",8:33 PM,UA465,Denver (DEN),United Airlines,B739 (N38454),Landed 9:04 PM
EVV,"Saturday, January 8, 2022",8:53 PM,FRG175,Evansville (EVV),Freight Runners Express,E120 (N121CZ),Diverted to CID
SLC,"Saturday, January 8, 2022",9:00 PM,DL3775,Salt Lake City (SLC),Delta Connection,E75L (N243SY),Landed 8:41 PM
LAS,"Saturday, January 8, 2022",9:10 PM,WN1397,Las Vegas (LAS),Southwest Airlines,B738 (N8686A),Landed 10:34 PM
MSP,"Saturday, January 8, 2022",9:15 PM,DL5230,Minneapolis (MSP),Delta Connection,CRJ7 (N668CA),Landed 10:13 PM
ORD,"Saturday, January 8, 2022",9:55 PM,UA1802,Chicago (ORD),United Airlines,B738 (N73276),Landed 12:23 AM
DCA,"Saturday, January 8, 2022",10:00 PM,AA4770,Washington (DCA),American Eagle,E75L (N437YX),Landed 9:38 PM
DTW,"Saturday, January 8, 2022",10:18 PM,DL4883,Detroit (DTW),Delta Connection,CRJ7 (N368CA),Landed 10:06 PM
ATL,"Saturday, January 8, 2022",10:39 PM,DL4680,Atlanta (ATL),Delta Connection,CRJ9 (N195PQ),Landed 10:09 PM
IAH,"Saturday, January 8, 2022",10:39 PM,UA6330,Houston (IAH),United Express,E75L (N88346),Landed 11:07 PM
CID,"Saturday, January 8, 2022",11:36 PM,FRG175,Cedar Rapids (CID),Freight Runners Express,E120 (N121CZ),Landed 11:24 PM
DFW,"Saturday, January 8, 2022",11:42 PM,AA1371,Dallas (DFW),American Airlines,A320 (N651AW),Landed 11:20 PM
PHX,"Saturday, January 8, 2022",11:56 PM,AA568,Phoenix (PHX),American Airlines,A320 (N668AW),Landed 11:29 PM
MIA,"Sunday, January 9, 2022",12:09 AM,AA3558,Miami (MIA),American Eagle,E75L (N209NN),Landed 12:00 AM
AFW,"Sunday, January 9, 2022",2:46 AM,3M3901,Fort Worth (AFW),Amazon Air,AT75 (N937AZ),Landed 2:34 AM
BNA,"Sunday, January 9, 2022",8:54 AM,G4571,Nashville (BNA),Allegiant Air,A320 (N241NV),Landed 8:43 AM
DFW,"Sunday, January 9, 2022",9:01 AM,AA3953,Dallas (DFW),American Eagle,E75L (N278NN),Landed 8:26 AM
ORD,"Sunday, January 9, 2022",9:46 AM,AA3259,Chicago (ORD),American Eagle,CRJ7 (N717EV),Landed 9:25 AM
FCM,"Sunday, January 9, 2022",10:27 AM,,Minneapolis (FCM),Frontier,SF50 (N769BK),Landed 9:54 AM
ORD,"Sunday, January 9, 2022",10:44 AM,UA5323,Chicago (ORD),United Express,E75L (N103SY),Landed 10:38 AM
ATL,"Sunday, January 9, 2022",11:17 AM,DL2867,Atlanta (ATL),Delta Air Lines,B712 (N945AT),Landed 10:56 AM
MSP,"Sunday, January 9, 2022",11:44 AM,DL4863,Minneapolis (MSP),Delta Connection,CRJ7 (N391CA),Landed 11:36 AM
DFW,"Sunday, January 9, 2022",12:12 PM,AA3123,Dallas (DFW),American Eagle,CRJ7 (N708SK),Landed 11:45 AM
DEN,"Sunday, January 9, 2022",12:43 PM,UA5254,Denver (DEN),United Express,CRJ2 (N920EV),Landed 12:45 PM
CLT,"Sunday, January 9, 2022",1:12 PM,AA3955,Charlotte (CLT),American Eagle,E75L (N282NN),Landed 12:50 PM
DEN,"Sunday, January 9, 2022",1:25 PM,WN1182,Denver (DEN),Southwest Airlines,B737 (N7841A),Landed 1:30 PM
LAS,"Sunday, January 9, 2022",1:48 PM,G4811,Las Vegas (LAS),Allegiant Air,A320 (N237NV),Landed 1:32 PM
PHX,"Sunday, January 9, 2022",2:22 PM,AA1972,Phoenix (PHX),American Airlines,A319 (N751UW),Landed 2:11 PM
BDR,"Sunday, January 9, 2022",2:31 PM,CNS1210,Stratford (BDR),PlaneSense,PC24 (N126AF),Landed 2:18 PM
MKT,"Sunday, January 9, 2022",2:36 PM,MVK80,Mankato (MKT),North Star Aviation,PA44 (N443MK),Diverted to LSE
ORD,"Sunday, January 9, 2022",2:39 PM,AA3240,Chicago (ORD),American Eagle,CRJ7 (N724EV),Canceled
HOU,"Sunday, January 9, 2022",2:43 PM,G4591,Houston (HOU),Allegiant Air,A320 (N241NV),Landed 3:22 PM
IAH,"Sunday, January 9, 2022",2:47 PM,UA6188,Houston (IAH),United Express,E75L (N87339),Landed 3:57 PM
SRQ,"Sunday, January 9, 2022",3:05 PM,G4848,Sarasota (SRQ),Allegiant Air,A320 (N257NV),Landed 3:51 PM
CLT,"Sunday, January 9, 2022",3:18 PM,AA5679,Charlotte (CLT),American Eagle,CRJ9 (N547NN),Landed 2:54 PM
ORD,"Sunday, January 9, 2022",3:28 PM,UA5508,Chicago (ORD),United Express,E75L (N151SY),Landed 3:10 PM
SDF,"Sunday, January 9, 2022",4:09 PM,5X514,Louisville (SDF),UPS,B763 (N339UP),Landed 5:24 PM
DEN,"Sunday, January 9, 2022",4:21 PM,UA4763,Denver (DEN),United Express,CRJ2 (N910EV),Landed 4:09 PM
DFW,"Sunday, January 9, 2022",4:26 PM,AA560,Dallas (DFW),American Airlines,A319 (N758US),Landed 3:59 PM
LAS,"Sunday, January 9, 2022",4:30 PM,WN4936,Las Vegas (LAS),Southwest Airlines,B738 (N8529Z),Unknown
ORD,"Sunday, January 9, 2022",4:48 PM,AA4146,Chicago (ORD),American Eagle,E170 (N760MQ),Landed 4:26 PM
DTW,"Sunday, January 9, 2022",5:01 PM,DL4760,Detroit (DTW),Delta Connection,CRJ7 (N317CA),Landed 4:38 PM
PSP,"Sunday, January 9, 2022",5:26 PM,G4822,Palm Springs (PSP),Allegiant Air,A320 (N248NV),Landed 5:20 PM
DCA,"Sunday, January 9, 2022",5:30 PM,AA4914,Washington (DCA),American Eagle,E75S (N101HQ),Landed 5:31 PM
ATL,"Sunday, January 9, 2022",5:34 PM,DL2537,Atlanta (ATL),Delta Air Lines,A320 (N320US),Landed 6:20 PM
DEN,"Sunday, January 9, 2022",6:01 PM,F9470,Denver (DEN),Frontier,A320 (N229FR),Landed 5:52 PM
MEM,"Sunday, January 9, 2022",6:41 PM,FX534,Memphis (MEM),FedEx,A306 (N730FD),Landed 8:18 PM
DEN,"Sunday, January 9, 2022",8:39 PM,UA465,Denver (DEN),United Airlines,B739 (N75435),Landed 8:39 PM
LGA,"Sunday, January 9, 2022",8:49 PM,DL5265,New York (LGA),Delta Connection,CRJ9 (N915XJ),Landed 8:12 PM
SLC,"Sunday, January 9, 2022",9:00 PM,DL3775,Salt Lake City (SLC),Delta Connection,E75L (N296SY),Landed 9:53 PM
MSP,"Sunday, January 9, 2022",9:15 PM,DL5230,Minneapolis (MSP),Delta Connection,CRJ9 (N582CA),Landed 10:47 PM
PGD,"Sunday, January 9, 2022",9:25 PM,G4827,Punta Gorda (PGD),Allegiant Air,A320 (N237NV),Landed 9:37 PM
ORD,"Sunday, January 9, 2022",9:36 PM,AA3697,Chicago (ORD),American Eagle,E75L (N283NN),Landed 9:26 PM
ORD,"Sunday, January 9, 2022",9:55 PM,UA1802,Chicago (ORD),United Airlines,B738 (N14219),Landed 10:21 PM
DCA,"Sunday, January 9, 2022",10:00 PM,AA4770,Washington (DCA),American Eagle,E75L (N437YX),Landed 10:18 PM
DTW,"Sunday, January 9, 2022",10:18 PM,DL4883,Detroit (DTW),Delta Connection,CRJ9 (N538CA),Landed 11:30 PM
SFB,"Sunday, January 9, 2022",10:25 PM,G4851,Orlando (SFB),Allegiant Air,A320 (N257NV),Landed 11:41 PM
STL,"Sunday, January 9, 2022",10:35 PM,WN4937,St. Louis (STL),Southwest Airlines,B738 (N8552Z),Landed 11:01 PM
ATL,"Sunday, January 9, 2022",10:39 PM,DL4680,Atlanta (ATL),Delta Connection,CRJ9 (N319PQ),Landed 10:16 PM
AUS,"Sunday, January 9, 2022",11:17 PM,G4812,Austin (AUS),Allegiant Air,A320 (N248NV),Landed 10:53 PM
PHX,"Sunday, January 9, 2022",11:56 PM,AA568,Phoenix (PHX),American Airlines,A320 (N680AW),Landed 11:57 PM
DFW,"Monday, January 10, 2022",12:01 AM,AA1371,Dallas (DFW),American Airlines,A319 (N8031M),Landed 11:45 PM
MIA,"Monday, January 10, 2022",12:09 AM,AA3558,Miami (MIA),American Eagle,E75L (N302RN),Landed 11:52 PM
CLT,"Monday, January 10, 2022",12:20 AM,AA825,Charlotte (CLT),American Airlines,A319 (N833AW),Landed 11:54 PM
AFW,"Monday, January 10, 2022",2:37 AM,3M3901,Fort Worth (AFW),Amazon Air,AT75 (N967AZ),Landed 2:25 AM
MKC,"Monday, January 10, 2022",7:44 AM,,Kansas City (MKC),Frontier,P46T (N431PM),Landed 8:49 AM
OJC,"Monday, January 10, 2022",7:59 AM,,Kansas City (OJC),Frontier,C680 (N516PM),Canceled
IND,"Monday, January 10, 2022",8:00 AM,AA9922,Indianapolis (IND),American Eagle,E75S (N124HQ),Landed 10:37 AM
DFW,"Monday, January 10, 2022",9:01 AM,AA3953,Dallas (DFW),American Eagle,E75L (N268NN),Landed 9:01 AM
DTW,"Monday, January 10, 2022",9:35 AM,DL5188,Detroit (DTW),Delta Connection,CRJ9 (N695CA),Landed 9:10 AM
ORD,"Monday, January 10, 2022",10:44 AM,UA5323,Chicago (ORD),United Express,E75L (N132SY),Landed 11:30 AM
ATL,"Monday, January 10, 2022",11:04 AM,DL2867,Atlanta (ATL),Delta Air Lines,B712 (N926AT),Landed 10:45 AM
MIE,"Monday, January 10, 2022",11:39 AM,,Muncie (MIE),Frontier,TBM9 (N449MA),Landed 11:53 AM
MSP,"Monday, January 10, 2022",11:44 AM,DL4863,Minneapolis (MSP),Delta Connection,CRJ7 (N668CA),Landed 2:11 PM
SUS,"Monday, January 10, 2022",11:48 AM,GTW432,St. Louis (SUS),American Air Charter,PC12 (N432SS),Landed 12:06 PM
DFW,"Monday, January 10, 2022",12:12 PM,AA3123,Dallas (DFW),American Eagle,CRJ7 (N765SK),Landed 11:49 AM
DEN,"Monday, January 10, 2022",12:43 PM,UA5254,Denver (DEN),SkyWest Airlines,CRJ2 (N879AS),Landed 12:15 PM
BDR,"Monday, January 10, 2022",12:49 PM,CNS1210,Stratford (BDR),PlaneSense,PC24,Canceled
CLT,"Monday, January 10, 2022",1:12 PM,AA3955,Charlotte (CLT),American Eagle,E75L (N274NN),Landed 12:47 PM
DEN,"Monday, January 10, 2022",2:05 PM,WN4529,Denver (DEN),Southwest Airlines,B737 (N936WN),Landed 1:44 PM
LAL,"Monday, January 10, 2022",2:13 PM,DPJ451,Lakeland (LAL),Delta Private Jets,BE40 (N451TM),Diverted to UCY
PIE,"Monday, January 10, 2022",2:14 PM,G4852,St. Petersburg (PIE),Allegiant Air,A320 (N248NV),Landed 2:05 PM
